epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0721,0.83814,1.06296,0.96289,0.98452,0.97037,0.97894,0.77474,0.71208,0.65201,0.867,0.00047549,0.00047549,0.00047549
2,127.63,0.83423,0.60199,0.98124,0.98213,0.98159,0.98233,0.80488,0.65077,0.46811,0.88235,0.000857593,0.000857593,0.000857593
3,173.126,0.80718,0.50866,0.98318,0.98563,0.97883,0.98008,0.80516,0.6467,0.43506,0.88645,0.00114538,0.00114538,0.00114538
4,216.571,0.77269,0.45485,0.9653,0.98613,0.9813,0.98,0.81011,0.63392,0.39838,0.86303,0.00100459,0.00100459,0.00100459
5,260.378,0.72981,0.41402,0.95141,0.98238,0.98052,0.9781,0.82947,0.57436,0.35705,0.85736,0.000863116,0.000863116,0.000863116
6,303.923,0.70161,0.38568,0.93747,0.98752,0.98128,0.9772,0.83042,0.56917,0.3317,0.85374,0.000721645,0.000721645,0.000721645
7,344.969,0.66853,0.35919,0.92709,0.97636,0.98052,0.9815,0.84027,0.55187,0.33295,0.83916,0.000580174,0.000580174,0.000580174
8,386.255,0.64135,0.33791,0.914,0.98446,0.98367,0.98184,0.85372,0.52194,0.30019,0.83507,0.000438703,0.000438703,0.000438703
9,428.2,0.61615,0.31734,0.90491,0.98582,0.98412,0.97987,0.85535,0.51009,0.28022,0.82555,0.000297232,0.000297232,0.000297232
10,470.006,0.58907,0.2974,0.89744,0.98751,0.98242,0.98269,0.87092,0.46974,0.25576,0.82463,0.000155761,0.000155761,0.000155761
